budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
640,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,30.0,8,2,0.25,218.5,0.36211705207824707
640,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,32.0,8,2,0.25,377.5,0.5849807262420654
640,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,22.0,8,8,1.0,102.75,0.17804250121116638
640,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,24.0,8,8,1.0,255.125,0.394300639629364
640,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,26.0,8,4,0.5,208.25,0.3157961964607239
640,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,28.0,8,2,0.25,119.5,0.18680787086486816
640,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,30.0,8,2,0.25,242,0.3722950220108032
640,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,32.0,8,2,0.25,425.5,0.6562299728393555
640,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,22.0,8,8,1.0,94.75,0.1671706736087799
640,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,24.0,8,7,0.875,208.28571428571428,0.34020822388785227
640,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,26.0,8,4,0.5,202,0.3236857056617737
640,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,28.0,8,2,0.25,109.5,0.1978132724761963
640,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,30.0,8,2,0.25,204.5,0.35056769847869873
640,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,32.0,8,2,0.25,361.5,0.580901026725769
640,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,22.0,8,8,1.0,97.75,0.1691553294658661
640,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,24.0,8,8,1.0,249.125,0.38681718707084656
640,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,26.0,8,4,0.5,214.5,0.34110909700393677
640,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,28.0,8,2,0.25,125,0.2066965103149414
640,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,30.0,8,2,0.25,253,0.39128410816192627
640,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,32.0,8,2,0.25,426.5,0.6505582332611084
640,floyd_steinberg_tensor,Floyd + tensor,22.0,8,8,1.0,129.5,0.20489808917045593
640,floyd_steinberg_tensor,Floyd + tensor,24.0,8,6,0.75,200.33333333333334,0.3100906213124593
640,floyd_steinberg_tensor,Floyd + tensor,26.0,8,4,0.5,255.5,0.3907078504562378
640,floyd_steinberg_tensor,Floyd + tensor,28.0,8,2,0.25,161,0.26803386211395264
640,floyd_steinberg_tensor,Floyd + tensor,30.0,8,2,0.25,289,0.460141658782959
640,floyd_steinberg_tensor,Floyd + tensor,32.0,8,2,0.25,470.5,0.7259109020233154
